image,n_people,n_faces,n_masks_good,n_masks_improper,n_masks_bad,predicted_n_people,predicted_n_faces,predicted_n_masks_good,predicted_n_masks_improper,predicted_n_masks_bad,time_people,time_faces,time_masks
test1,12,5,5,0,0,12,7,2,0,0,0.22200584411621094,0.21525287628173828,0.7489008903503418
test2,45,6,3,0,0,23,4,1,0,1,0.3779127597808838,0.21048688888549805,0.7789313793182373
test3,11,3,3,0,0,7,3,3,0,0,0.2152242660522461,0.21034693717956543,0.7456331253051758
test4,4,2,0,0,2,4,2,0,0,2,0.19873309135437012,0.1784820556640625,0.7928988933563232
test5,46,44,0,0,44,25,29,2,0,30,0.15602803230285645,0.14366888999938965,0.7099459171295166
test6,2,2,0,1,1,2,2,1,1,2,0.5632500648498535,0.5597248077392578,1.1620831489562988
test7,16,8,8,0,0,9,10,7,0,0,0.21050286293029785,0.17481017112731934,0.70931077003479
test8,7,5,5,0,0,10,4,4,0,0,0.17142033576965332,0.17551898956298828,0.6993021965026855
test9,22,5,3,0,1,13,4,5,0,0,0.1769719123840332,0.18644213676452637,0.712308406829834
test10,6,4,2,0,2,5,3,2,0,1,0.510023832321167,0.5297126770019531,1.2359130382537842
test11,2,2,2,0,0,2,2,2,0,0,0.5639879703521729,0.559190034866333,1.3045680522918701
test12,2,2,2,0,0,2,2,0,0,0,0.39116907119750977,0.3678610324859619,0.9632720947265625
test13,5,5,0,0,5,7,5,0,0,5,0.157196044921875,0.1475210189819336,0.737699031829834
test14,7,7,0,0,7,7,8,5,0,6,0.2096118927001953,0.16102814674377441,0.6811032295227051
test15,9,4,0,4,0,6,4,1,0,2,0.2763206958770752,0.2674379348754883,0.6297879219055176
