image,n_people,n_faces,n_masks_good,n_masks_improper,n_masks_bad,predicted_n_people,predicted_n_faces,predicted_n_masks_good,predicted_n_masks_improper,predicted_n_masks_bad,time_people,time_faces,time_masks
test1,12,5,5,0,0,12,7,2,0,0,0.2309861183166504,0.25525808334350586,0.8879239559173584
test2,45,6,3,0,0,23,4,1,0,1,0.23293519020080566,0.2135920524597168,0.6867897510528564
test3,11,3,3,0,0,7,3,3,0,0,0.24478721618652344,0.21066665649414062,0.6799068450927734
test4,4,2,0,0,2,4,2,0,0,2,0.2068648338317871,0.2156999111175537,0.7048678398132324
test5,46,44,0,0,44,25,29,2,0,30,0.1766960620880127,0.14338302612304688,0.5993261337280273
test6,2,2,0,1,1,2,2,1,1,2,0.5458707809448242,0.5248219966888428,1.0376057624816895
test7,16,8,8,0,0,9,10,7,0,0,0.1842949390411377,0.18013787269592285,0.6030688285827637
test8,7,5,5,0,0,10,4,4,0,0,0.18157100677490234,0.17313194274902344,0.6460580825805664
test9,22,5,3,0,1,13,4,5,0,0,0.19068169593811035,0.17330098152160645,0.6756131649017334
test10,6,4,2,0,2,5,3,2,0,1,0.5141429901123047,0.5095009803771973,1.101564884185791
test11,2,2,2,0,0,2,2,2,0,0,0.5627052783966064,0.5437719821929932,1.1527652740478516
test12,2,2,2,0,0,2,2,0,0,0,0.4135470390319824,0.3695361614227295,0.869337797164917
test13,5,5,0,0,5,7,5,0,0,5,0.17417502403259277,0.1491680145263672,0.6933929920196533
test14,7,7,0,0,7,7,8,5,0,6,0.1746208667755127,0.15778779983520508,0.5774478912353516
test15,9,4,0,4,0,6,4,1,0,2,0.2049400806427002,0.36212897300720215,0.6161868572235107
